75.58914	NaN	16995	15908	1.06197	1.17102	
77.98866	NaN	16991	15899	0.97838	0.96348	
80.38783	NaN	16990	15902	0.95243	1.02978	
82.78825	NaN	16996	15914	1.07350	1.30362	
85.18722	NaN	16998	15909	1.13115	1.19985	
87.58877	NaN	17001	15922	1.20033	1.49963	
89.98876	NaN	16988	15906	0.89190	1.11049	
92.38828	NaN	17007	15913	1.33869	1.28056	
94.78811	NaN	17012	15927	1.45688	1.60340	
97.18683	NaN	17000	15899	1.16862	0.95195	
99.58860	NaN	17018	15916	1.59236	1.35550	
101.98891	NaN	17005	15905	1.28104	1.09319	
104.38822	NaN	17020	15902	1.62695	1.01825	
106.78828	NaN	17015	15904	1.52894	1.07590	
109.18740	NaN	17013	15891	1.47994	0.77323	
111.58900	NaN	17035	15900	1.99014	0.98942	
113.98908	NaN	17006	15883	1.30410	0.58010	
116.38890	NaN	17020	15880	1.62695	0.51669	
118.78825	NaN	17025	15892	1.74225	0.79053	
121.18720	NaN	17008	15875	1.37040	0.41292	
123.58887	NaN	17032	15888	1.90943	0.71558	
125.98889	NaN	17007	15877	1.33581	0.44463	
128.38893	NaN	17021	15888	1.65865	0.70117	
130.78839	NaN	17025	15887	1.74801	0.68964	
133.18712	NaN	17007	15878	1.33293	0.48498	
135.58897	NaN	17024	15887	1.71919	0.68099	
137.98874	NaN	17013	15881	1.47417	0.54263	
140.38890	NaN	17002	15884	1.22627	0.60605	
142.78812	NaN	17014	15886	1.49435	0.66658	
145.18713	NaN	16998	15887	1.13980	0.68388	
147.58870	NaN	17013	15905	1.47705	1.10761	
149.98853	NaN	16985	15878	0.82272	0.47057	
152.38918	NaN	16995	15903	1.06485	1.05572	
154.78850	NaN	17000	15904	1.17151	1.06437	
157.18729	NaN	16981	15896	0.73048	0.90006	
159.58907	NaN	16987	15910	0.86596	1.22003	
161.98878	NaN	16982	15901	0.75354	1.00095	
164.38928	NaN	16983	15911	0.78813	1.22579	
166.78847	NaN	16988	15917	0.90055	1.36992	
169.18689	NaN	16986	15910	0.84578	1.20561	
171.58881	NaN	16995	15929	1.06197	1.65529	
173.98877	NaN	16979	15908	0.68724	1.17390	
173.17079	NaN	16903	15832	-1.05669	-0.57867	
170.76218	NaN	16910	15836	-0.89815	-0.49220	
168.35658	NaN	16892	15830	-1.30747	-0.63632	
165.95193	NaN	16893	15820	-1.29017	-0.85539	
163.54903	NaN	16911	15833	-0.87509	-0.57291	
161.14836	NaN	16880	15808	-1.59284	-1.14941	
158.74884	NaN	16899	15811	-1.15758	-1.07447	
156.34933	NaN	16888	15801	-1.40547	-1.30795	
153.94812	NaN	16893	15805	-1.28441	-1.21859	
151.54730	NaN	16901	15794	-1.11434	-1.45784	
149.14749	NaN	16889	15788	-1.38530	-1.61062	
146.74811	NaN	16914	15800	-0.81456	-1.33389	
144.34915	NaN	16914	15794	-0.81167	-1.46361	
141.94792	NaN	16906	15792	-0.98174	-1.50685	
139.54695	NaN	16938	15809	-0.24670	-1.12059	
137.14720	NaN	16917	15791	-0.73384	-1.52991	
134.74817	NaN	16933	15802	-0.37641	-1.27048	
132.34898	NaN	16932	15791	-0.39371	-1.52414	
129.94785	NaN	16930	15797	-0.43694	-1.40019	
127.54675	NaN	16945	15810	-0.08816	-1.10329	
125.14718	NaN	16928	15786	-0.48595	-1.64233	
122.74780	NaN	16929	15797	-0.46000	-1.39443	
120.34883	NaN	16927	15787	-0.51477	-1.62791	
