94.36243	1.05327058	21334	20511	104.38209	103.90293	94.44210	0.66489869	21229	20412	101.98094	101.61996	
93.41553	1.06542969	21262	20474	102.73328	103.04394	93.49080	0.66510820	21116	20338	99.35784	99.89622	
92.46599	1.08077812	21370	20569	105.22667	105.22601	92.54400	0.69559580	21251	20452	102.48250	102.52797	
91.51104	1.02787614	21330	20507	104.31003	103.80781	91.59177	0.66162610	21243	20430	102.30090	102.01776	
90.56513	1.06337869	21255	20472	102.57762	102.99493	90.64145	0.66827500	21145	20369	100.02947	100.62550	
89.61461	1.06514585	21373	20565	105.28432	105.14242	89.69286	0.66281819	21273	20470	102.98118	102.94593	
88.66122	1.02985668	21275	20457	103.03307	102.66056	88.74229	0.66840625	21204	20400	101.40155	101.33459	
87.71497	1.06384945	21264	20478	102.77075	103.13906	87.79266	0.68329132	21181	20400	100.87117	101.33748	
86.76369	1.04511607	21320	20505	104.07078	103.76746	86.84311	0.66602528	21254	20442	102.55457	102.30601	
85.81165	1.02939081	21220	20414	101.76476	101.66897	85.89281	0.67583483	21107	20316	99.15607	99.39465	
84.86407	1.05148172	21292	20500	103.42509	103.65215	84.94330	0.67509377	21217	20430	101.69557	102.03505	
83.91336	1.03665054	21270	20445	102.91199	102.36366	83.99220	0.65321672	21212	20393	101.58604	101.17894	
82.96207	1.02508545	21204	20407	101.40155	101.50467	83.04237	0.65714538	21073	20288	98.38066	98.75185	
82.01366	1.05349565	21281	20483	103.16854	103.25436	82.09389	0.67174447	21197	20404	101.24301	101.41819	
81.06344	1.03607321	21231	20404	102.02706	101.43837	81.14264	0.65504169	21130	20315	99.68645	99.38313	
80.11292	1.01598561	21195	20404	101.18248	101.42107	80.19250	0.65589046	21068	20288	98.25671	98.75185	
79.16207	1.03162849	21268	20454	102.86299	102.57408	79.24339	0.64948577	21149	20347	100.11594	100.10952	
78.21342	1.02999210	21207	20378	101.45344	100.83592	78.29209	0.64139259	21055	20243	97.96269	97.70837	
